pivot_w,rr,sl_points,max_trades_day,no_new_last_min,wait_open,dt_tol,db_tol,min_bars,max_bars,cooldown,trades,win_rate,profit_factor,total_return,monthly_return,max_dd,score
3,1.6,120.0,1,20,10,0.001,0.0006,3,24,6,44,0.4318181818181818,0.8433552216104214,-0.009687257144680883,-0.006581523388024868,-0.025041494676128817,1.3521316772546603
3,1.6,160.0,1,20,20,0.0008,0.0015,5,24,6,43,0.4186046511627907,0.8872664416399737,-0.00587078962819132,-0.003986153731250108,-0.015540495717344505,1.4932674583058925
3,1.8,150.0,3,40,20,0.0006,0.0015,5,24,2,53,0.4339622641509434,0.9084658522984833,-0.005719548402789321,-0.003883368978252477,-0.01797208837932396,1.5362992963457613
3,1.6,120.0,1,50,20,0.0015,0.001,5,40,4,41,0.5365853658536586,1.4222253732934327,0.019398087877560588,0.013117768706133903,-0.013969737204504562,2.436961786362193
3,1.6,130.0,3,40,20,0.0012,0.0012,2,20,6,68,0.4852941176470588,1.3287565637223766,0.02381818368839661,0.01609554458174456,-0.016249017894005346,2.3744050948734894
3,1.6,130.0,1,40,25,0.0006,0.0006,3,60,2,37,0.43243243243243246,0.967219860352005,-0.0015745188658156106,-0.001068327730686769,-0.018671191779012997,1.6027560180084355
2,1.6,150.0,2,50,10,0.0012,0.0012,2,24,0,74,0.43243243243243246,0.813771535027422,-0.018078212353182188,-0.012299093513927217,-0.03408173264620107,1.282774158552509
3,1.5,150.0,1,20,20,0.0006,0.0006,4,30,6,39,0.46153846153846156,1.0830146346410474,0.003163008381820598,0.002144501025744594,-0.017728706844484576,1.8128057191006202
3,1.6,150.0,2,50,10,0.0012,0.001,2,40,2,67,0.4626865671641791,1.0415756470300266,0.003113800535325728,0.002111155066291781,-0.02193122399451175,1.7951653671083034
3,1.8,180.0,3,50,10,0.001,0.0006,2,24,6,54,0.3888888888888889,0.8334739637681365,-0.0112890062917127,-0.007671743024109556,-0.028714279323597824,1.3315513255177414
3,1.5,130.0,2,40,30,0.0006,0.0012,2,40,0,59,0.4067796610169492,0.8398833698473099,-0.01206870244049918,-0.008202643452013825,-0.02278086192380324,1.3850187356120347
3,1.4,150.0,3,40,10,0.0006,0.0012,4,30,2,69,0.4057971014492754,0.7859461532457827,-0.017908220530302166,-0.012183106040292602,-0.03556688584342271,1.2205530664857966
2,1.5,180.0,2,30,30,0.001,0.001,4,24,0,58,0.43103448275862066,0.7845493093395628,-0.013219675170368816,-0.008986595031121314,-0.02003779383277826,1.309704440763704
3,1.4,150.0,3,50,10,0.0015,0.0012,2,30,6,80,0.45,0.993790208763028,-0.0008633715197292613,-0.0005857396662972691,-0.024907523841360857,1.7165542527659987
2,1.8,120.0,1,50,25,0.0015,0.0015,3,30,6,47,0.48936170212765956,1.316903971061712,0.018274729320923555,0.012360311484127529,-0.01862960062993302,2.2599608446859905
2,1.4,160.0,1,30,30,0.001,0.0012,2,40,4,46,0.5,1.3587804720750931,0.015530297839331686,0.010508667167899333,-0.01414236287668802,2.3323858681957064
2,1.4,120.0,3,50,15,0.0006,0.0008,4,60,2,54,0.42592592592592593,0.874328688827338,-0.009332013594465005,-0.006339806158078387,-0.027206290305545777,1.4125368421431053
2,1.8,180.0,2,50,15,0.001,0.0008,3,24,0,63,0.49206349206349204,1.194974411458208,0.011687847080940728,0.007913491828312136,-0.013154391425075684,2.114343203263355
3,1.4,120.0,3,30,30,0.0008,0.0008,4,24,0,61,0.45901639344262296,1.0163883199955375,0.000971241652327981,0.0006587279292198378,-0.021194988210421872,1.7351823741645336
3,1.4,150.0,2,40,10,0.0012,0.0015,5,20,6,66,0.45454545454545453,0.9655327914740409,-0.0027995952688877335,-0.0018999299451153417,-0.02181387638732446,1.6472164893261918
3,1.5,180.0,3,40,25,0.0008,0.0008,5,60,4,44,0.45454545454545453,0.9324324017255459,-0.0031074780101936206,-0.0021089775259462984,-0.013324395599657812,1.5918304087828017
2,1.5,180.0,1,30,15,0.0008,0.0006,5,24,2,34,0.4411764705882353,0.7951908086725342,-0.007228719409450135,-0.004909239176830171,-0.015902198672125722,1.3230991075614056
2,1.5,140.0,1,20,30,0.0012,0.0012,5,50,4,42,0.40476190476190477,0.8127878656091087,-0.009350606136244721,-0.006352456330179779,-0.015526651676736059,1.3602022377118084
3,1.5,160.0,2,40,20,0.0012,0.0015,3,40,2,67,0.4626865671641791,1.0152680971832189,0.0009278368188618824,0.000629293738178438,-0.015698411286539593,1.7812460279610183
3,1.6,120.0,3,40,25,0.0008,0.0008,2,24,0,57,0.45614035087719296,1.0908789998756798,0.00600101725908786,0.004066803739389613,-0.013731845979105706,1.9089618538540023
3,1.6,120.0,1,20,15,0.0008,0.0006,4,24,6,40,0.475,1.024798058709404,0.0010324293847128185,0.0007002205694255359,-0.014485640940582356,1.7358850069760163
3,1.5,120.0,1,20,10,0.0015,0.0015,3,50,4,49,0.40816326530612246,0.8358126631920716,-0.012009807210632717,-0.008162536583582125,-0.027156892253741516,1.3279773485970012
2,1.8,130.0,3,20,10,0.0015,0.0012,2,20,2,91,0.42857142857142855,0.9067219085486732,-0.011597150982666227,-0.007881544746761726,-0.038047458617668006,1.4762457531429078
3,1.5,150.0,1,50,15,0.0008,0.0015,4,40,0,44,0.4318181818181818,0.9562814301379914,-0.002472612089775894,-0.00167793619634371,-0.01873612671150504,1.5985818953672069
3,1.5,160.0,3,30,15,0.0015,0.0012,3,40,4,74,0.44594594594594594,0.9887163466337139,-0.0011840845568548142,-0.0008033634178453708,-0.022290777022644703,1.7079029504719396
3,1.5,140.0,2,50,10,0.0015,0.0015,5,24,0,70,0.45714285714285713,0.9863320205141216,-0.0014464112656414896,-0.0009813851244858673,-0.023021041222478167,1.6885207024404265
3,1.8,140.0,2,40,25,0.0006,0.0006,2,30,4,46,0.41304347826086957,0.9102198470679302,-0.004803891500096746,-0.0032611885374477234,-0.01882119451201736,1.5213130952302094
2,1.8,140.0,1,20,15,0.001,0.0012,2,50,6,46,0.43478260869565216,1.0786251608834094,0.004291716939870849,0.002909232020661179,-0.01652575265961953,1.8370570815326863
2,1.5,130.0,1,40,15,0.001,0.0006,3,50,2,44,0.5,1.3056621550986252,0.0145864265810709,0.009871473495903782,-0.01285046909451737,2.2503622060480635
3,1.5,180.0,2,40,10,0.0012,0.0008,2,24,0,62,0.4032258064516129,0.773444655640236,-0.01711309840148678,-0.011640670328873282,-0.023971821654628078,1.2582106909015993
2,1.4,150.0,1,20,30,0.0006,0.0012,3,50,0,44,0.4772727272727273,1.1732495135805365,0.007286135546417105,0.004936694463639091,-0.014256058131292604,2.0038314772921617
3,1.8,140.0,1,40,25,0.0008,0.0006,4,60,6,37,0.40540540540540543,0.8884987990955362,-0.005460059952448915,-0.0037070302562178803,-0.01687957793641759,1.4743144889750557
2,1.8,120.0,3,20,10,0.001,0.0006,3,20,0,86,0.4418604651162791,1.0792366286453035,0.008098388157292025,0.005486320440402759,-0.022298061866648067,1.9239571352912888
3,1.8,120.0,2,20,20,0.001,0.0006,5,40,0,53,0.5094339622641509,1.507056594800559,0.027900225143653312,0.018841905581781004,-0.006541360498742654,2.68457197386263
2,1.6,150.0,1,40,25,0.0012,0.001,3,50,0,46,0.45652173913043476,1.0809078675562966,0.004245813939663945,0.002878136874223447,-0.014255954338086685,1.8538511702997122
2,1.8,120.0,3,20,25,0.0015,0.0006,4,50,0,77,0.44155844155844154,1.0493956539524107,0.004435412252977278,0.00300656969187596,-0.027447183680816778,1.805962936378723
3,1.5,180.0,3,30,30,0.001,0.0015,4,30,2,63,0.4126984126984127,0.8035333887515043,-0.01377696877920187,-0.00936628503085224,-0.021114027227419285,1.3411856395159227
2,1.8,120.0,2,30,25,0.0006,0.0015,3,60,0,65,0.46153846153846156,1.1913253852048744,0.01509603033527962,0.010215523202983467,-0.018351966894967653,2.1011004620613734
3,1.5,120.0,2,40,15,0.0008,0.0015,2,50,2,62,0.43548387096774194,0.9459821924768433,-0.004577996892198177,-0.003107723551061925,-0.020941124580240444,1.603464752825327
2,1.8,160.0,1,30,25,0.0006,0.0006,2,40,6,42,0.40476190476190477,0.9797759600397943,-0.0010065704140356235,-0.0006829062494280169,-0.011450386651954414,1.6804983701525407
3,1.8,140.0,1,50,20,0.0008,0.0008,4,60,4,38,0.4473684210526316,1.0677710564189948,0.0030812220850771066,0.002089077816345819,-0.016802071613489122,1.792556777478324
2,1.4,130.0,2,30,25,0.0012,0.0015,4,20,4,69,0.42028985507246375,0.9152347548953045,-0.007649218710127581,-0.005195166033348353,-0.02866896976720823,1.5117769854729204
2,1.6,160.0,2,20,25,0.0006,0.0006,5,20,2,36,0.3611111111111111,0.6727085089918695,-0.013839427616065825,-0.009408843193877692,-0.017826087297026727,1.0968354941546223
2,1.5,130.0,1,50,30,0.0015,0.0015,5,60,0,42,0.40476190476190477,0.8470103902275598,-0.008557444771608025,-0.0058128654229241405,-0.02098497647368458,1.383102803115839
2,1.8,160.0,3,40,25,0.0006,0.0008,4,20,0,50,0.42,0.8489149675420731,-0.00874410383681723,-0.005939837847945939,-0.01858274610990962,1.4193572718700844
3,1.6,120.0,1,30,20,0.0006,0.001,5,24,6,38,0.4473684210526316,1.1044445141200634,0.004398800484626042,0.002981769696067671,-0.01458519637599498,1.8680097504926665
3,1.8,180.0,1,50,15,0.0012,0.0012,3,24,6,43,0.46511627906976744,1.0864650254558832,0.004046820947736451,0.0027433317656659906,-0.015961757277059285,1.8433736486467969
3,1.8,150.0,1,20,25,0.001,0.0006,2,20,0,41,0.43902439024390244,0.8853920253558444,-0.005822566573559285,-0.003953380409367102,-0.01627062648611466,1.4813372358421417
3,1.4,150.0,1,20,20,0.0015,0.0008,4,50,4,45,0.5111111111111111,1.0849611070205532,0.004227739672005182,0.002865893061062552,-0.015589313110947467,1.8493329263536453
2,1.5,130.0,2,30,20,0.0015,0.0015,4,20,2,72,0.4444444444444444,1.0053896443669954,0.00022141598308778043,0.00015018968175128933,-0.030604040237458885,1.68566174257975
2,1.5,120.0,3,20,15,0.0006,0.001,4,20,0,64,0.453125,1.0098982885804353,0.0005425021489857684,0.00036796810085304443,-0.02647181827793954,1.69896026800984
2,1.5,120.0,3,40,10,0.0015,0.0012,2,50,4,94,0.40425531914893614,0.8196818271926142,-0.024574576561404715,-0.01673649506313457,-0.04784517347707218,1.2235597394214115
2,1.5,140.0,1,40,30,0.0015,0.0015,3,24,4,47,0.46808510638297873,1.070759496302937,0.0038099558488537966,0.002582859507515689,-0.020111370220126212,1.8036338991937735
2,1.4,180.0,1,30,10,0.001,0.0015,2,40,2,48,0.3958333333333333,0.783572505954468,-0.012781055740257896,-0.008687807503060863,-0.025995513446505525,1.2498832182281818
2,1.4,130.0,3,50,15,0.0008,0.0008,3,60,4,72,0.5,1.2492841092920375,0.019011463578110455,0.012857106328654,-0.025554816023869997,2.1834541184240686
2,1.5,150.0,1,30,25,0.0015,0.001,2,20,6,46,0.4782608695652174,1.1020003238756728,0.005387842539932741,0.003651622609763372,-0.015178803342108416,1.8861406466389656
2,1.6,160.0,1,30,15,0.001,0.001,4,60,6,43,0.32558139534883723,0.6853961590836791,-0.01888105220220737,-0.012846968150931337,-0.02643691153133787,1.0541970242300407
3,1.5,180.0,2,30,15,0.001,0.001,4,24,6,58,0.4482758620689655,0.9851126465721569,-0.0010616420655531478,-0.0007202759165404471,-0.01626402719964959,1.6993225993280143
2,1.5,120.0,3,50,15,0.001,0.0006,2,50,6,76,0.47368421052631576,1.2260606263807883,0.019153555424075153,0.0129529084488742,-0.024774350707436055,2.1640681029175597
3,1.8,120.0,2,20,25,0.0012,0.0015,3,60,0,74,0.44594594594594594,1.0995807950483538,0.008660965155636413,0.005866915231350189,-0.017426786542046546,1.956745795171053
3,1.4,180.0,3,40,20,0.001,0.0006,4,30,2,52,0.4230769230769231,0.8383524533006533,-0.009360613429262199,-0.006359265219907373,-0.01681248055456963,1.4157796748643032
3,1.8,150.0,1,40,20,0.001,0.0015,5,24,0,45,0.4444444444444444,1.0743642905007122,0.0037684334896230798,0.0025547275287360893,-0.013035232313508227,1.8462728620999076
3,1.6,140.0,1,20,15,0.0012,0.0008,2,60,0,42,0.5476190476190477,1.4273283045588208,0.019030082910908908,0.012869660225093282,-0.010349940552372594,2.466850095324742
3,1.4,160.0,1,50,15,0.0008,0.0006,3,24,0,37,0.4594594594594595,0.9551051982556872,-0.002038046700550633,-0.0013829395050045656,-0.014157679736548356,1.6091482029242041
2,1.4,130.0,1,40,10,0.001,0.0015,2,24,6,48,0.3958333333333333,0.7903234599552397,-0.014325191434072071,-0.009739862238156816,-0.02693046219856876,1.2459835188361925
2,1.8,120.0,3,20,25,0.0008,0.0012,4,60,6,68,0.4264705882352941,1.0100583355942558,0.0005877297857768138,0.00039864218237983806,-0.02480028118708355,1.719474953727921
3,1.4,130.0,2,40,20,0.001,0.001,4,40,0,65,0.47692307692307695,1.1556543857704962,0.01112660703412005,0.007534167473561393,-0.013123270897391515,2.057515293059886
3,1.5,180.0,3,40,10,0.0015,0.0012,3,20,0,73,0.410958904109589,0.7992271052096576,-0.018366383249962093,-0.012495730753242285,-0.03327549244062089,1.2617218571448225
2,1.5,130.0,2,50,10,0.0006,0.0015,5,20,6,48,0.3125,0.6227238129268611,-0.02683246110736759,-0.018280988227721062,-0.03358108835595175,0.8863512834328126
3,1.6,120.0,1,30,25,0.0008,0.0006,5,30,2,35,0.42857142857142855,0.9611587487355351,-0.0017887061934612758,-0.0012136979608827758,-0.011615410399272608,1.6298360770206046
2,1.4,180.0,2,50,15,0.001,0.001,2,60,0,66,0.4393939393939394,0.9446246823664595,-0.003769294569610171,-0.002558410965169289,-0.014948543152997207,1.6517784769103516
2,1.4,160.0,2,20,25,0.001,0.0006,4,30,4,59,0.423728813559322,0.9035405612139917,-0.006685302491665879,-0.004539789737401101,-0.01796845819043169,1.5386817747791885
