round,ema_fast,ema_slow,atr_len,rr,atr_sl_mult,range_lookback,range_atr_factor,min_atr_pct,is_monthly,is_mdd,is_pf,oos_monthly,oos_mdd,oos_pf,oos_win_rate,oos_trades,score
1,78,250,25,3.0973165983385806,1.7294888209403663,9,1.9582821599619962,0.12178260891621136,-0.018268655801625955,-0.025528796332180637,0.5468287060554505,0.07522340578302011,-0.008136351780576923,2.4828429548698088,0.47058823529411764,17,2.920047482848316
1,80,263,22,2.9432442682343645,1.6854577844075644,10,1.5851969251733016,0.11176546399421228,-0.028938513492716145,-0.035775282402962794,0.3227403828864142,0.047377000757438115,-0.0082327707526898,1.8528621318692498,0.4117647058823529,17,2.240572491951771
1,62,180,23,2.8424976277551943,2.0058621235469487,12,2.1702812814396264,0.10443785531755706,-0.028990632352404733,-0.043303539959162696,0.3145871499246835,0.04706200383738768,-0.008123279294941943,2.2224134444439008,0.46153846153846156,13,2.5522643920490498
1,47,250,28,2.7457556610030833,1.6325615148309436,10,1.5261252482158263,0.17349754827237993,-0.005282149403908143,-0.005459568614313737,0.0,0.04565137547260867,-0.00800191470779843,1.910051454522194,0.4375,16,2.2921122272361476
1,73,262,27,2.796900131838556,1.6655764887783995,8,1.5816772081348165,0.1254757221472667,-0.03256815800521318,-0.038652257248246724,0.28561147557481986,0.044734853810586506,-0.011122490143357311,1.6717299243821298,0.4,20,2.05649997379173
1,67,153,25,2.8662686468299534,1.743411178011855,8,0.9346560169190897,0.09826647985604565,-0.024257133363425498,-0.03729297949283861,0.5259474554918653,0.04449296690975846,-0.009495114967891016,1.7995141014357425,0.4117647058823529,17,2.1708504562145547
1,84,221,24,2.47501474254552,2.0418146961342165,8,1.2070445915677246,0.10444447363774022,-0.035868549577160236,-0.040760882057865766,0.24280880028270646,0.04365609383732849,-0.010267913336739598,1.793579602563248,0.4444444444444444,18,2.1771316845365116
1,39,270,28,2.530419886973414,1.807200063696587,12,1.6047088195215122,0.1526094302012955,-0.010597863336056945,-0.010952843437230575,0.0,0.043624532860937926,-0.0055514727947887366,1.979637857092051,0.4666666666666667,15,2.376318222030443
1,45,198,17,2.6877511969732177,1.4439079065046974,9,1.90518650851978,0.14360088436660742,-0.00860140687811084,-0.015353055158289886,0.5977648470652535,0.043392508186471224,-0.00801224582098714,1.8688273983708805,0.4375,16,2.2477353347525226
1,86,205,27,2.1610664201387815,1.8855550140868402,14,1.8127181712782021,0.165673343024986,-0.01842351989147417,-0.01903809034372006,0.0,0.041936861475377896,-0.005491199245498013,2.2637206710023343,0.5384615384615384,13,2.6321591081340334
