ema_fast,ema_slow,atr_len,rr,atr_sl_mult,range_lookback,range_atr_factor,min_atr_pct,is_trades,is_monthly,is_mdd,is_pf,oos_trades,oos_monthly,oos_mdd,oos_pf,oos_win_rate,score
71,263,22,3.14,1.6,26,1.91,0.131,12,-0.021908261706652055,-0.024745084451916144,0.2524618157296395,10,0.008164146446579812,-0.0112807020905209,1.2195552856795862,0.3,1.4313885309391543
77,209,14,1.57,0.71,16,1.76,0.067,37,-0.019890606028677094,-0.04177940113930678,0.7043737833165531,28,-0.03722033664486646,-0.02122964792783666,0.6404246360349156,0.35714285714285715,0.8126687978733925
20,153,25,1.57,1.91,8,2.14,0.271,1,-0.0025819217270329764,-0.0026687661448229205,0.0,2,-0.010598053461312373,-0.005313141466779192,0.0,0.0,0.16176932108718362
82,188,12,1.7,1.1,29,0.82,0.085,22,-0.014950771226548754,-0.030269725667613434,0.6460256552104681,14,-0.023856371047562552,-0.01839177470840747,0.5716680080206051,0.2857142857142857,0.7300128197970693
88,166,26,1.82,1.97,12,1.46,0.079,28,-0.03419545923300149,-0.04400014420762155,0.42044123831770963,19,0.010201904346500479,-0.014875133635314897,1.1719044772136709,0.42105263157894735,1.4995055686709107
67,204,16,1.89,1.25,30,0.87,0.335,1,-0.002609315304325399,-0.002697079874451447,0.0,0,0.0,0.0,,0.0,0.24
53,299,19,2.45,1.3,8,1.56,0.255,1,-0.0026210618365760663,-0.0027092209655866784,0.0,4,0.013171644974808938,-0.005425979118249713,2.212177062271756,0.5,2.4323537301039764
35,143,25,2.48,0.64,39,2.12,0.223,2,0.0028018271188967603,-0.0030890966932037855,1.943601929307138,2,0.00604375260188883,-0.002980569000236688,2.0183474215506956,0.5,2.261675062312885
69,282,10,2.12,1.36,19,1.34,0.338,0,0.0,0.0,,2,0.020953405052029916,0.0,,1.0,1.1304802868747865
93,165,21,1.75,0.9,9,0.85,0.235,2,0.008062848793821464,0.0,,8,-0.003428531595203954,-0.008535755743438456,0.8820787496623461,0.375,1.19032949406822
100,219,17,1.97,1.55,14,0.97,0.259,2,-0.0051792760467690435,-0.005353249206815347,0.0,4,0.00846702931653609,-0.005367898891884271,1.7899348635345587,0.5,2.076206150292051
94,280,13,2.04,1.95,17,1.39,0.221,7,-0.0032432524307558497,-0.005645396290369975,0.7507066694858002,4,-0.0059953925191499335,-0.007974469565927178,0.626861794383657,0.25,0.8670454422362418
68,218,25,1.46,0.95,39,1.28,0.329,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
56,131,26,2.56,1.64,37,2.06,0.202,2,-0.005259138694608367,-0.005435787124730029,0.0,5,0.008807920853580065,-0.00537242661675319,1.5455765251161675,0.4,1.8053801572398955
32,138,26,1.31,1.94,26,0.93,0.146,5,-0.0018197348019951542,-0.008070051960254454,0.7698777090128693,8,-0.01980965994078665,-0.01301952127137318,0.38486513886732054,0.25,0.5911639678263911
97,254,29,2.35,1.48,12,1.21,0.149,12,-0.016098101831922618,-0.016635760140761402,0.4045868044442162,19,0.013132366330218526,-0.011258970885483,1.200300771338008,0.3684210526315789,1.520768490746013
72,270,25,2.78,0.73,21,1.57,0.182,4,0.0070302237462482875,-0.00616514026997228,2.1816510216456204,12,-0.012650108847009012,-0.014263988595319854,0.7635933961613877,0.25,0.9261623727785153
94,269,24,1.49,1.67,24,0.94,0.075,21,-0.026419961707710438,-0.03544413562092141,0.38795073832408183,12,-0.029461942536528785,-0.02180434000728826,0.41753877858274197,0.25,0.5217485326617723
32,287,19,1.99,1.85,9,0.91,0.075,26,-0.012165782576951445,-0.028518222798396442,0.7533646176403332,18,0.006377079673853592,-0.011738476713051504,1.107950392552744,0.3888888888888889,1.4290719301443089
27,228,10,2.96,0.93,14,2.18,0.276,1,-0.002712643905736445,-0.0028038790556814686,0.0,2,-0.01113265651736195,-0.005581907102129358,0.0,0.0,0.15748078378018399
89,278,28,2.75,1.38,34,1.15,0.149,8,-0.012453507651481455,-0.012870238089862429,0.3411900544310443,10,-0.016941866851912124,-0.015158976433136684,0.6144213652522381,0.2,0.7358311466623819
86,292,22,2.01,1.4,27,0.97,0.085,19,-0.022064903796660484,-0.0285007287371305,0.45437384147446075,13,-0.02694109453524629,-0.023043848789176424,0.5173828538314661,0.23076923076923078,0.5897398325594942
58,120,12,2.37,1.95,32,2.02,0.117,16,-0.033431673935456985,-0.03750511842583237,0.1416017564004409,7,-0.003252140186656871,-0.007868177421377909,0.8804162614664147,0.2857142857142857,1.1202837909602428
25,177,21,3.16,1.38,28,0.86,0.327,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
55,266,29,1.35,0.83,21,1.21,0.349,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
73,237,12,3.0,0.66,19,2.14,0.067,27,-0.018293643019684502,-0.04489412985166907,0.697937871485267,23,-0.01740654860113966,-0.018298044924103918,0.828206372197451,0.2608695652173913,0.9719168628011505
95,276,30,1.75,0.86,33,1.34,0.119,12,-0.007590395772676617,-0.016642851731947794,0.6747624945569989,17,-0.015015958104190763,-0.01571706792216554,0.7665037187332223,0.35294117647058826,1.006422207035628
47,220,18,1.72,1.23,24,1.19,0.173,5,-0.0068049222226073125,-0.011047690026655954,0.3659027578914184,11,-0.019242568412105143,-0.013738109194641246,0.5612729988231195,0.2727272727272727,0.7569917367014299
96,282,22,3.02,1.75,25,1.38,0.224,2,-0.005194823864929199,-0.005369317869337253,0.0,4,0.01920378572147441,-0.005336836158504332,2.7914320199775613,0.5,2.920599402933245
44,129,27,2.3,0.83,40,1.89,0.194,2,0.00246202135016671,-0.0029824059970616768,1.8588983054598591,7,0.01043262183037097,-0.005445818464935637,1.4634096342011167,0.42857142857142855,1.7750821231533684
68,130,30,2.7,1.15,34,1.6,0.069,20,-0.01054827559100957,-0.03046079882424979,0.7511250971855029,14,-0.0042170170825401865,-0.021306170203673425,0.9291145928717135,0.2857142857142857,1.0712123395759179
20,268,25,1.35,1.57,12,2.2,0.349,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
