ema_fast,ema_slow,atr_len,rr,atr_sl_mult,range_lookback,range_atr_factor,min_atr_pct,oos_monthly,oos_mdd,oos_pf,oos_trades,wf_windows,wf_monthly_avg,wf_dd_worst,wf_pass_rate
52,238,16,2.4457681534111106,1.6072906919442682,10,2.194042864295073,0.3191642856305432,0.01570417500260124,0.0,,3,5,-0.002052513098693942,-0.002590144706201336,0.0
75,187,15,2.3853507707959736,1.5946318950281113,11,1.276676465582376,0.30689587848492633,0.015307245741700282,0.0,,3,5,-0.002050914687531624,-0.0025861383091730916,0.0
88,133,17,3.169049121950921,1.5440362127281202,17,1.7204581102096939,0.320514858543906,0.013601897048678646,0.0,,2,5,0.001025370969232764,-0.0026318134809467653,0.2
38,228,22,3.101943970784122,1.8711645279973796,17,1.3235337658362916,0.3203264844278676,0.013325385094456799,0.0,,2,5,-0.0020544321092954123,-0.002594954702860419,0.0
51,184,22,2.4195987724494925,1.9294599741577914,10,0.8301049672221564,0.31631413519680357,0.013248549755719985,-0.002639104223652433,6.805296568487915,4,5,-0.0031069966781250846,-0.0026377493144181807,0.0
43,198,15,3.064062858211802,1.7854639877170009,15,2.0074735351179007,0.27193529045793746,0.013163020282482618,0.0,,2,5,-0.004158623661108285,-0.007853785360823373,0.0
67,221,19,3.037010129403305,2.0894336361310826,15,2.1676285313544854,0.34993383425919483,0.01305189798143025,0.0,,2,5,-0.0020709685278580857,-0.0026053157823161532,0.0
73,133,17,2.9874513800552847,1.6880009537204368,11,0.9894485330505697,0.32140767044481294,0.01281723143904423,0.0,,2,5,-0.0020815488961336117,-0.00262078202782956,0.0
41,255,18,2.9428793368691695,1.8819352428026561,13,1.3398086156818922,0.31469490635234576,0.012632230810706524,0.0,,2,5,-0.0020500769380903837,-0.0025840385073967465,0.0
81,271,20,1.955593115368848,2.087124986757739,13,1.6162064056135177,0.28332479137227284,0.012521057188842555,0.0,,3,5,-0.0011820730031923076,-0.005211388663758587,0.2
