ema_fast,ema_slow,breakout_len,atr_len,atr_sl_mult,rr,vol_len,vol_factor,is_monthly,is_mdd,is_pf,is_trades,oos_monthly,oos_mdd,oos_pf,oos_trades,oos_win
41,97,19,24,1.96,2.98,37,1.7,-0.0021774057239539735,-0.021239463813839343,0.9003474260244227,28,0.005146691859414965,-0.01312326931795682,1.3813301270772298,9,0.3333333333333333
29,160,32,29,1.31,1.44,19,1.76,0.0011436878083546098,-0.01100449987337282,1.0651079506949266,34,0.008851092620539847,-0.005262121668070607,1.7678463243132023,12,0.5833333333333334
28,123,16,14,2.43,2.82,26,1.29,-0.005370388958684025,-0.019715463968673852,0.7427663469482492,27,0.004191255353995782,-0.01307093717996699,1.312885665756983,9,0.3333333333333333
25,161,12,10,1.82,2.53,28,1.55,-0.0017417565023007953,-0.023556545861766476,0.9248152079386797,31,0.007571397562797344,-0.007940432313154,1.5595586789359313,10,0.4
32,195,46,20,2.38,3.54,21,1.35,-0.007183885986671079,-0.026260208677711172,0.5736452463564047,20,-0.001584224775134313,-0.007861783753029594,0.8301228485464304,5,0.2
14,114,25,22,1.04,3.03,24,0.9,-0.012848891996459333,-0.0389505238292035,0.6758715982310015,47,0.001299294361948533,-0.011873415244101904,1.0598911112049596,14,0.2857142857142857
16,180,47,17,1.47,3.34,9,0.88,-0.0088528255224809,-0.03581543278059318,0.6709419170717326,32,0.006905435903843182,-0.008061566933991182,1.3352005087004508,13,0.3076923076923077
46,148,15,23,2.27,3.31,24,1.75,-0.00967800213179193,-0.0340565110880775,0.5550269156317943,26,-0.006630891540987949,-0.010475008770091665,0.5155210509491599,7,0.14285714285714285
34,98,11,11,1.44,1.4,34,1.05,-0.0037709074217684435,-0.026129055786669575,0.8907772691490935,58,0.004042843192252121,-0.016137256261135824,1.1920448393545868,18,0.5
28,86,10,20,0.82,2.32,27,0.92,-0.01427343062202524,-0.052353073498283,0.7608376754013365,76,-0.013636614432830263,-0.03881888672914269,0.6724743282741873,23,0.2608695652173913
50,70,10,20,1.2,2.16,32,1.67,-0.0043833413441607405,-0.03275699207308724,0.8878695511081884,54,-0.010909850831911094,-0.022043775808788912,0.6175573520272541,16,0.25
47,183,13,19,2.46,2.53,28,0.84,-0.012932671915094951,-0.03457043469757115,0.5146444828929132,33,-0.0021368662367158286,-0.01308039102053904,0.8857060797641788,11,0.2727272727272727
30,196,27,25,1.08,1.72,22,1.25,-0.010344096697143312,-0.02771217170866902,0.6094112364509054,36,0.01266209609084834,-0.008128083036359257,2.0810149717538002,12,0.5833333333333334
12,183,30,18,1.28,3.48,15,1.19,-0.013684075049532396,-0.049083849140878155,0.576074178243355,37,0.019946846302731025,-0.005508102734850362,2.2120747525045066,12,0.4166666666666667
33,169,15,11,1.59,2.05,35,0.88,-0.004270249882006083,-0.03523285099073825,0.8588521713760482,43,-0.0018485844485799374,-0.018865673839866703,0.9230788766078122,15,0.3333333333333333
50,115,42,13,2.41,2.94,32,1.22,-0.0031870685917115837,-0.020792843790788496,0.7712091143746933,18,-0.005092003019509961,-0.0077997327291285945,0.5522434161717116,6,0.16666666666666666
39,167,12,30,1.5,3.07,25,1.79,0.0016258972042526576,-0.016636402769364067,1.0851438024354463,28,0.011941335945883758,-0.008007630363653151,1.8635617662485602,10,0.4
20,124,33,29,2.21,2.57,40,1.27,-0.0057765871913120215,-0.022503367329833934,0.7087611309683018,26,0.007221617554256765,-0.007807895639745377,1.8025362110838312,7,0.42857142857142855
44,192,28,23,0.93,2.86,12,1.8,-0.013139784591304604,-0.03977660030956354,0.5319729633009791,32,0.009153474497248348,-0.008299143150216293,1.6485149929855938,10,0.4
47,69,30,12,2.03,3.02,26,1.05,0.005906728649182291,-0.01616052928342826,1.3806111210142342,24,0.010000103166926122,-0.007845427787345205,2.103908590267952,7,0.42857142857142855
23,152,8,26,1.27,1.7,8,1.47,-0.014007661186537401,-0.049972047818855,0.6772928302218664,62,0.007668254539437314,-0.009566957095003659,1.328354913318001,19,0.47368421052631576
41,94,35,15,0.84,2.4,10,1.32,-0.01579207483973344,-0.046854815119601545,0.6387642930718141,53,0.003612686518267738,-0.014234192086552966,1.12544851554467,19,0.3684210526315789
21,94,12,24,1.03,1.27,22,1.58,-0.006314805932413958,-0.02935307236756568,0.8326551577744272,65,0.00339305355645525,-0.013360940926077314,1.1821586329712206,17,0.5294117647058824
23,108,18,26,2.34,2.68,25,1.19,-0.004641742709248664,-0.022115506969857535,0.7878017389276087,29,0.0034330851330015566,-0.01298881504114191,1.2585656478242762,9,0.3333333333333333
36,107,45,8,2.13,2.15,24,1.75,-0.005074157545620128,-0.018667707101144182,0.6963212985093713,23,3.382581247368677e-05,-0.00779131792672394,1.0077062818913178,6,0.3333333333333333
13,177,24,17,2.11,1.36,12,1.78,-0.010702767823234649,-0.0317608923964513,0.589182093157555,39,0.0009238475934332246,-0.01310657915287905,1.0610327414812686,13,0.46153846153846156
11,165,18,26,1.71,2.3,23,0.95,0.005620705173794871,-0.0214370490396526,1.27094592422276,34,-0.0035043436325504773,-0.018278864278355234,0.8492386749748921,14,0.2857142857142857
25,52,11,15,1.98,2.19,39,1.27,-0.0002598591405068573,-0.024304109827531506,0.9956150504429289,47,-0.0023649001393418745,-0.018530625044216875,0.9098308434548706,16,0.3125
